route_id,step_id,occurrence_id,subleaf_id,payload_field,target_field,span,occurrence_index,expr,occurrence_hash
flrw_route_A_named_subleaves_expand_then_cancel,A1,flrw_route_A_named_subleaves_expand_then_cancel.A1.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,after_expr,"[0,69]",0,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",9653ee01c1ce8e53
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,after_expr,"[0,69]",0,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",cbcc5d5ebbea2c0a
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ02.partial_time_derivative,flrw.divergence.expanded_nu0,partial_G00_expr,after_expr,"[0,15]",0,"diff(3*H**2, t)",75e9b20923052829
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ03.connection_trace_factor,flrw.connection.gamma_trace_0,gamma_trace_0_expr,after_expr,"[18,21]",1,3*H,0c09ef32f9459bc8
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ04.einstein_00_factor,flrw.einstein.G_contra_00,G_contra_00_expr,after_expr,"[22,28]",1,3*H**2,278ae31ca257a51d
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ05.spatial_connection_factor,flrw.connection.gamma_0ii,gamma_0ii_expr,after_expr,"[34,46]",0,H*exp(2*H*t),5ec763bd3e374a4b
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ06.spatial_einstein_factor,flrw.einstein.G_contra_ii,G_contra_ii_expr,after_expr,"[49,68]",0,-3*H**2*exp(-2*H*t),49762a1da8efaedc
flrw_route_B_named_subleaves_factor_first,B1,flrw_route_B_named_subleaves_factor_first.B1.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,after_expr,"[0,69]",0,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",204b1d35d159eba5
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,after_expr,"[0,69]",0,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",96a835fdd1673471
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ02.partial_time_derivative,flrw.divergence.expanded_nu0,partial_G00_expr,after_expr,"[0,15]",0,"diff(3*H**2, t)",614d6816ecaecfce
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ03.connection_trace_factor,flrw.connection.gamma_trace_0,gamma_trace_0_expr,after_expr,"[18,21]",1,3*H,d6d53ce4eaebd363
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ04.einstein_00_factor,flrw.einstein.G_contra_00,G_contra_00_expr,after_expr,"[22,28]",1,3*H**2,6c1d6f21862c0a40
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ05.spatial_connection_factor,flrw.connection.gamma_0ii,gamma_0ii_expr,after_expr,"[34,46]",0,H*exp(2*H*t),79167e6f3bf43ce4
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ06.spatial_einstein_factor,flrw.einstein.G_contra_ii,G_contra_ii_expr,after_expr,"[49,68]",0,-3*H**2*exp(-2*H*t),6d0be754a1277728
